,time,name,price,symbol,marketcap,link,image
115,20211017135123,XRP,1.12,XRP,52540219854,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
116,20211017135123,Solana,159.89,SOL,48036333871,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
117,20211017135123,Polkadot,41.33,DOT,40815503940,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
118,20211017135123,USD Coin,0.9999,USDC,32749209201,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
119,20211017135123,Dogecoin,0.2366,DOGE,31170479004,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
120,20211017225602,Bitcoin,61141.91,BTC,1152318210771,/currencies/bitcoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png
121,20211017225602,Ethereum,3812.87,ETH,449800596877,/currencies/ethereum/,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png
122,20211017225602,Binance Coin,468.95,BNB,78847258249,/currencies/binance-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png
123,20211017225602,Cardano,2.14,ADA,70514040124,/currencies/cardano/,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png
124,20211017225602,Tether,1.00,USDT,69050556285,/currencies/tether/,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png
125,20211017225602,XRP,1.09,XRP,51131765686,/currencies/xrp/,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png
126,20211017225602,Solana,159.41,SOL,47891069701,/currencies/solana/,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png
127,20211017225602,Polkadot,41.63,DOT,41112989640,/currencies/polkadot-new/,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png
128,20211017225602,USD Coin,1.00,USDC,32803499038,/currencies/usd-coin/,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png
129,20211017225602,Dogecoin,0.2395,DOGE,31548448114,/currencies/dogecoin/,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png
